index,Website,타이틀,설명,Cnt,기타,환경정책,지구환경,환경보건,자원순환,기후변화,자연환경,환경영향평가,대기환경,물환경,KR_Keywords,EN_Keywords,CID
9949,http://climate.gov,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
9948,http://www.env.go.jp/en/earth/cc/adapt_guide/pdf/approaches_to_adaptation_en.pdf,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
9947,http://www.theccc.org.uk/tackling-climate-change/preparing-for-climate-change/uk-adaptation-policy,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
10944,http://www.undp.org/content/un,,,1,0,0,1,0,0,0,0,0,0,0,",지속가능발전, 새마을운동, ODA 사업, 개도국, 국제협력",",Sustainable Development, Saemaul Undong, ODA project, Developing Country, International Cooperation",",707879"
9933,http://cmsdata.iucn.org/downloads/extraction_and_biodiversity_in_limestone_areas.pdf,,,1,0,0,0,0,0,0,1,0,0,0,",지질-식생 상관관계, 백두대간보호지역, 호석회식물, 사문암, 토양통",",Geology-Plants Correlation, Baekdudaegan Protected Area, Calcicolous Plants, Limestone Zone, Serpentine Zone, Soil Type",",704754"
10948,http://newsList.php,,,1,0,0,1,0,0,0,0,0,0,0,",지속가능발전, 새마을운동, ODA 사업, 개도국, 국제협력",",Sustainable Development, Saemaul Undong, ODA project, Developing Country, International Cooperation",",707879"
9934,http://www.naas.go.kr.,,,1,0,0,0,0,0,0,1,0,0,0,",지질-식생 상관관계, 백두대간보호지역, 호석회식물, 사문암, 토양통",",Geology-Plants Correlation, Baekdudaegan Protected Area, Calcicolous Plants, Limestone Zone, Serpentine Zone, Soil Type",",704754"
10947,http://www.undp.org/content/undp/en/home/mdgovervi,,,1,0,0,1,0,0,0,0,0,0,0,",지속가능발전, 새마을운동, ODA 사업, 개도국, 국제협력",",Sustainable Development, Saemaul Undong, ODA project, Developing Country, International Cooperation",",707879"
9935,http://www.kfri.go.kr.,,,1,0,0,0,0,0,0,1,0,0,0,",지질-식생 상관관계, 백두대간보호지역, 호석회식물, 사문암, 토양통",",Geology-Plants Correlation, Baekdudaegan Protected Area, Calcicolous Plants, Limestone Zone, Serpentine Zone, Soil Type",",704754"
10946,http://www.un.org/apps/news/story.asp?NewsID=519,,,1,0,0,1,0,0,0,0,0,0,0,",지속가능발전, 새마을운동, ODA 사업, 개도국, 국제협력",",Sustainable Development, Saemaul Undong, ODA project, Developing Country, International Cooperation",",707879"
10943,http://www.kocis.go.kr/koreanet/view.do,,,1,0,0,1,0,0,0,0,0,0,0,",지속가능발전, 새마을운동, ODA 사업, 개도국, 국제협력",",Sustainable Development, Saemaul Undong, ODA project, Developing Country, International Cooperation",",707879"
9937,http://www.ngii.go.kr.,,,1,0,0,0,0,0,0,1,0,0,0,",지질-식생 상관관계, 백두대간보호지역, 호석회식물, 사문암, 토양통",",Geology-Plants Correlation, Baekdudaegan Protected Area, Calcicolous Plants, Limestone Zone, Serpentine Zone, Soil Type",",704754"
10942,http://unep.or.kr/sub/sub05_02.ph,,,1,0,0,1,0,0,0,0,0,0,0,",지속가능발전, 새마을운동, ODA 사업, 개도국, 국제협력",",Sustainable Development, Saemaul Undong, ODA project, Developing Country, International Cooperation",",707879"
10941,http://www.undp.org/content/undp/en/ho,,,1,0,0,1,0,0,0,0,0,0,0,",지속가능발전, 새마을운동, ODA 사업, 개도국, 국제협력",",Sustainable Development, Saemaul Undong, ODA project, Developing Country, International Cooperation",",707879"
10940,https://portals.iucn.org/library/efiles/html/WCS-004/cover.html,,,1,0,0,1,0,0,0,0,0,0,0,",지속가능발전, 새마을운동, ODA 사업, 개도국, 국제협력",",Sustainable Development, Saemaul Undong, ODA project, Developing Country, International Cooperation",",707879"
